Id,Key,HouseKey,NameKey,DescKey,Level,EffectType,TargetKey,Value,CostType,CostValue,PrerequisiteKey,SortOrder,IconPath
1,home_hp,slot,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,1,RunConfigAdd,HomeHpMax,1,Royal,3,,1,
2,home_hp,slot,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,2,RunConfigAdd,HomeHpMax,2,Royal,6,,1,
3,spin_coin,slot,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,1,RunConfigAdd,SpinCoinPerYear,1,Royal,3,,2,
4,spin_coin,slot,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,2,RunConfigAdd,SpinCoinPerYear,2,Royal,6,,2,
5,spin_coin,slot,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,3,RunConfigAdd,SpinCoinPerYear,3,Royal,12,,2,
6,start_gold,slot,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,1,RunConfigAdd,RunStartGold,5,Royal,3,,4,
7,start_gold,slot,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,2,RunConfigAdd,RunStartGold,10,Royal,6,,4,
8,start_gold,slot,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,3,RunConfigAdd,RunStartGold,15,Royal,12,,4,
9,home_hp,chess,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,1,RunConfigAdd,HomeHpMax,1,Royal,3,,1,
10,home_hp,chess,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,2,RunConfigAdd,HomeHpMax,2,Royal,6,,1,
11,home_hp,chess,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,3,RunConfigAdd,HomeHpMax,3,Royal,12,,1,
12,swap,chess,HouseUpgradeSwapName,HouseUpgradeSwapDesc,1,RunConfigAdd,SwapCountPerYear,1,Royal,3,,3,
13,swap,chess,HouseUpgradeSwapName,HouseUpgradeSwapDesc,2,RunConfigAdd,SwapCountPerYear,2,Royal,6,,3,
14,swap,chess,HouseUpgradeSwapName,HouseUpgradeSwapDesc,3,RunConfigAdd,SwapCountPerYear,3,Royal,12,,3,
15,start_gold,chess,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,1,RunConfigAdd,RunStartGold,5,Royal,3,,4,
16,start_gold,chess,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,2,RunConfigAdd,RunStartGold,10,Royal,6,,4,
17,home_hp,janggi,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,1,RunConfigAdd,HomeHpMax,1,Royal,3,,1,
18,home_hp,janggi,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,2,RunConfigAdd,HomeHpMax,2,Royal,6,,1,
19,home_hp,janggi,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,3,RunConfigAdd,HomeHpMax,3,Royal,12,,1,
20,spin_coin,janggi,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,1,RunConfigAdd,SpinCoinPerYear,1,Royal,3,,2,
21,spin_coin,janggi,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,2,RunConfigAdd,SpinCoinPerYear,2,Royal,6,,2,
22,swap,janggi,HouseUpgradeSwapName,HouseUpgradeSwapDesc,1,RunConfigAdd,SwapCountPerYear,1,Royal,3,,3,
23,swap,janggi,HouseUpgradeSwapName,HouseUpgradeSwapDesc,2,RunConfigAdd,SwapCountPerYear,2,Royal,6,,3,
24,swap,janggi,HouseUpgradeSwapName,HouseUpgradeSwapDesc,3,RunConfigAdd,SwapCountPerYear,3,Royal,12,,3,
25,spin_coin,hwatu,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,1,RunConfigAdd,SpinCoinPerYear,1,Royal,3,,2,
26,spin_coin,hwatu,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,2,RunConfigAdd,SpinCoinPerYear,2,Royal,6,,2,
27,swap,hwatu,HouseUpgradeSwapName,HouseUpgradeSwapDesc,1,RunConfigAdd,SwapCountPerYear,1,Royal,3,,3,
28,swap,hwatu,HouseUpgradeSwapName,HouseUpgradeSwapDesc,2,RunConfigAdd,SwapCountPerYear,2,Royal,6,,3,
29,swap,hwatu,HouseUpgradeSwapName,HouseUpgradeSwapDesc,3,RunConfigAdd,SwapCountPerYear,3,Royal,12,,3,
30,start_gold,hwatu,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,1,RunConfigAdd,RunStartGold,5,Royal,3,,4,
31,start_gold,hwatu,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,2,RunConfigAdd,RunStartGold,10,Royal,6,,4,
32,start_gold,hwatu,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,3,RunConfigAdd,RunStartGold,15,Royal,12,,4,
33,spin_coin,poker,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,1,RunConfigAdd,SpinCoinPerYear,1,Royal,3,,2,
34,spin_coin,poker,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,2,RunConfigAdd,SpinCoinPerYear,2,Royal,6,,2,
35,spin_coin,poker,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,3,RunConfigAdd,SpinCoinPerYear,3,Royal,12,,2,
36,swap,poker,HouseUpgradeSwapName,HouseUpgradeSwapDesc,1,RunConfigAdd,SwapCountPerYear,1,Royal,3,,3,
37,swap,poker,HouseUpgradeSwapName,HouseUpgradeSwapDesc,2,RunConfigAdd,SwapCountPerYear,2,Royal,6,,3,
38,start_gold,poker,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,1,RunConfigAdd,RunStartGold,5,Royal,3,,4,
39,start_gold,poker,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,2,RunConfigAdd,RunStartGold,10,Royal,6,,4,
40,start_gold,poker,HouseUpgradeStartGoldName,HouseUpgradeStartGoldDesc,3,RunConfigAdd,RunStartGold,15,Royal,12,,4,
41,home_hp,mahjong,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,1,RunConfigAdd,HomeHpMax,1,Royal,3,,1,
42,home_hp,mahjong,HouseUpgradeHomeHpName,HouseUpgradeHomeHpDesc,2,RunConfigAdd,HomeHpMax,2,Royal,6,,1,
43,spin_coin,mahjong,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,1,RunConfigAdd,SpinCoinPerYear,1,Royal,3,,2,
44,spin_coin,mahjong,HouseUpgradeSpinCoinName,HouseUpgradeSpinCoinDesc,2,RunConfigAdd,SpinCoinPerYear,2,Royal,6,,2,
