Id,HouseKey,PatternKey,Coef
1,chess,ChessLineTriple,8.0
2,chess,ChessLinePair,1.3
3,janggi,JanggiJump,3.8
4,janggi,JanggiCannon,3.8
5,janggi,JanggiEdge,0.95
6,poker,PokerTriple,40
7,poker,PokerStraight,11
8,poker,PokerPair,1
9,hwatu,HwatuScale,0.2055
10,slot,SlotMatch3_0,3
11,slot,SlotMatch3_1,5
12,slot,SlotMatch3_2,8
13,slot,SlotMatch3_3,13
14,slot,SlotMatch3_4,20
15,slot,SlotMatch3_5,33
16,slot,SlotMatch2_0,0.5
17,slot,SlotMatch2_1,0.8
18,slot,SlotMatch2_2,1.2
19,slot,SlotMatch2_3,2
20,slot,SlotMatch2_4,3
21,slot,SlotMatch2_5,5
22,mahjong,MahjongMeld,2.4
23,mahjong,MahjongTenpai,3.6
24,mahjong,MahjongWin,24
25,mahjong,MahjongKotsu,8
26,mahjong,MahjongIkkitsukan,56
27,yut,YutGrade2Landing,11
