Id,HouseKey,SymbolIndex,NameKey,Role,HpRate,AtkRate,AtkSpeedRate,RangeBonus,MoveRate,TraitKey,SpawnWeight
1,slot,0,UnitSlotCherry,Front,1.25,0.75,0.95,0,0.95,TraitPack,1.00
2,slot,1,UnitSlotLemon,Front,1.15,0.85,1.00,0,1.00,,1.00
3,slot,2,UnitSlotBell,Mid,1.05,0.95,1.05,0,1.05,TraitMidRelay,1.00
4,slot,3,UnitSlotBar,Front,1.00,0.95,1.00,0,0.95,TraitFrontGuard,1.00
5,slot,4,UnitSlotBar2,Back,0.85,1.05,0.95,1,1.00,TraitBackShooter,1.00
6,slot,5,UnitSlotSeven,Mid,0.70,1.45,1.05,0,1.05,,1.00
7,chess,0,UnitChessBishop,Back,0.70,1.10,1.00,1,1.00,TraitBackShooter,1.00
8,chess,1,UnitChessKing,Mid,1.40,0.80,0.90,0,0.65,TraitSpawn,1.00
9,chess,2,UnitChessKnight,Front,0.95,1.05,1.10,0,1.55,,1.00
10,chess,3,UnitChessPawn,Front,0.80,0.70,1.00,0,1.00,TraitPack,1.00
11,chess,4,UnitChessQueen,Mid,1.00,1.50,1.15,0,1.00,,1.00
12,chess,5,UnitChessRook,Front,1.15,0.85,0.85,1,0.80,TraitFrontGuard,1.00
13,janggi,0,UnitJanggiCha,Front,1.00,1.45,1.05,1,1.20,,1.00
14,janggi,1,UnitJanggiJol,Front,0.75,0.70,1.05,0,1.00,TraitPack,1.00
15,janggi,2,UnitJanggiMa,Front,0.90,1.05,1.15,0,1.55,,1.00
16,janggi,3,UnitJanggiPo,Mid,0.65,1.20,0.80,2,0.85,TraitLeap,1.00
17,janggi,4,UnitJanggiSa,Mid,1.10,0.80,1.10,0,0.95,TraitEscort,1.00
18,janggi,5,UnitJanggiSang,Front,1.25,0.90,0.85,0,0.80,TraitFrontGuard,1.00
19,janggi,6,UnitJanggiWang,Mid,1.35,0.90,1.00,0,0.65,TraitSpawn,1.00
20,hwatu,0,UnitHwatuPine,Back,0.74,0.74,1.10,0,1.10,TraitBackShooter,1.00
21,hwatu,1,UnitHwatuPlum,Front,1.16,1.21,1.00,0,1.05,,1.00
22,hwatu,2,UnitHwatuCherry,Back,0.84,0.79,1.10,0,1.10,TraitBackShooter,1.00
23,hwatu,3,UnitHwatuBlackClover,Front,1.05,1.11,1.00,0,1.00,,1.00
24,hwatu,4,UnitHwatuOrchid,Mid,1.21,1.21,1.00,0,1.00,TraitMidRelay,1.00
25,hwatu,5,UnitHwatuPeony,Front,1.05,1.06,1.00,0,1.00,,1.00
26,hwatu,6,UnitHwatuRedClover,Front,1.21,1.27,1.00,0,1.00,,1.00
27,hwatu,7,UnitHwatuMoon,Back,0.74,0.74,1.10,0,1.10,TraitBackShooter,1.00
28,hwatu,8,UnitHwatuChrysanth,Mid,0.90,0.90,1.00,0,0.95,,1.00
29,hwatu,9,UnitHwatuMaple,Front,0.90,0.84,0.90,0,0.95,,1.00
30,hwatu,10,UnitHwatuPaulownia,Front,1.42,1.37,0.90,0,0.85,TraitFrontGuard,1.00
31,hwatu,11,UnitHwatuRain,Back,1.42,1.42,0.90,1,0.90,TraitPierce,1.00
32,poker,0,UnitPokerA,Front,0.55,0.55,1.20,0,1.30,TraitLoneWolf,1.00
33,poker,1,UnitPoker02,Front,0.62,0.62,1.17,0,1.25,,1.00
34,poker,2,UnitPoker03,Front,0.70,0.70,1.13,0,1.20,,1.00
35,poker,3,UnitPoker04,Front,0.77,0.77,1.10,0,1.15,,1.00
36,poker,4,UnitPoker05,Mid,0.85,0.85,1.07,0,1.10,,1.00
37,poker,5,UnitPoker06,Mid,0.92,0.92,1.03,0,1.05,,1.00
38,poker,6,UnitPoker07,Mid,1.00,1.00,1.00,0,1.00,,1.00
39,poker,7,UnitPoker08,Mid,1.08,1.08,0.97,0,0.95,,1.00
40,poker,8,UnitPoker09,Mid,1.15,1.15,0.93,0,0.90,,1.00
41,poker,9,UnitPoker10,Back,1.23,1.23,0.90,0,0.85,,1.00
42,poker,10,UnitPokerJ,Back,1.30,1.30,0.87,0,0.80,,1.00
43,poker,11,UnitPokerQ,Back,1.38,1.38,0.83,0,0.75,TraitBackShooter,1.00
44,poker,12,UnitPokerK,Back,1.45,1.45,0.80,0,0.70,TraitFrontGuard,1.00
45,mahjong,0,UnitMahjongPin1,Front,1.30,0.90,1.00,0,0.85,TraitFrontGuard,1.00
46,mahjong,1,UnitMahjongPin2,Front,1.10,0.95,1.00,0,0.90,,1.00
47,mahjong,2,UnitMahjongPin3,Mid,0.90,1.00,1.00,0,1.00,,1.00
48,mahjong,3,UnitMahjongPin4,Mid,0.85,1.05,1.00,0,1.15,,1.00
49,mahjong,4,UnitMahjongPin5,Mid,0.70,1.20,1.00,0,1.20,TraitMidRelay,1.00
50,mahjong,5,UnitMahjongPin6,Mid,0.85,1.05,1.00,0,1.15,,1.00
51,mahjong,6,UnitMahjongPin7,Mid,0.90,1.00,1.00,0,1.00,,1.00
52,mahjong,7,UnitMahjongPin8,Front,1.10,0.95,1.00,0,0.90,,1.00
53,mahjong,8,UnitMahjongPin9,Front,1.30,0.90,1.00,0,0.85,TraitFrontGuard,1.00
54,yut,0,UnitYutBackdo,Front,1.00,1.00,1.00,0,1.00,,1.00
55,yut,1,UnitYutDo,Front,1.30,0.75,1.00,0,0.80,TraitFrontGuard,1.00
56,yut,2,UnitYutGae,Front,1.15,0.85,1.00,0,0.90,,1.00
57,yut,3,UnitYutGeol,Mid,1.00,1.00,1.05,0,1.05,TraitMidRelay,1.00
58,yut,4,UnitYutYut,Back,0.80,1.15,0.90,1,1.10,TraitBackShooter,1.00
59,yut,5,UnitYutMo,Front,0.75,1.25,1.05,0,1.15,,1.00
