Id,Year,WaveIndex,WaveType,PowerCoef,EnemyKey,EnemyHouse
1,1,1,Normal,0.85,grunt,neutral
2,1,2,Normal,1.0,grunt,neutral
3,1,3,Normal,1.15,grunt,neutral
4,2,1,Normal,1.105,grunt,chess
5,2,2,Normal,1.3,grunt,chess
6,2,3,Normal,1.495,grunt,chess
7,3,1,Normal,1.36,shield,janggi
8,3,2,Normal,1.6,shield,janggi
9,3,3,Normal,1.84,shield,janggi
10,4,1,Normal,2.04,shield,poker
11,4,2,Normal,2.4,shield,poker
12,4,3,Judgement,2.76,king_first,poker
13,5,1,Normal,2.38,archer,hwatu
14,5,2,Normal,2.8,archer,hwatu
15,5,3,Normal,3.22,archer,hwatu
16,6,1,Normal,2.975,archer,mahjong
17,6,2,Normal,3.5,archer,mahjong
18,6,3,Normal,4.025,archer,mahjong
19,7,1,Normal,3.57,brute,slot
20,7,2,Normal,4.2,brute,slot
21,7,3,Normal,4.83,brute,slot
22,8,1,Normal,5.1,brute,yut
23,8,2,Normal,6.0,brute,yut
24,8,3,Judgement,6.9,king_second,yut
25,9,1,Normal,5.95,brute,chess
26,9,2,Normal,7.0,brute,chess
27,9,3,Normal,8.05,brute,chess
28,10,1,Normal,7.4375,brute,janggi
29,10,2,Normal,8.75,brute,janggi
30,10,3,Normal,10.0625,brute,janggi
31,11,1,Normal,8.925,brute,poker
32,11,2,Normal,10.5,brute,poker
33,11,3,Normal,12.075,brute,poker
34,12,1,Normal,13.6,brute,hwatu
35,12,2,Normal,16.0,brute,hwatu
36,12,3,Final,18.4,king_final,hwatu
